#,P1,Skill,Uncertainty
1,Dr. Camron Padberg PhD,42.11,5.28
2,Mireya Runolfsson PhD,38.40,6.16
3,Demetria Stamm,29.28,6.93
4,Roberta Toy,21.54,6.92
5,Dr. Fleming Kshlerin,6.38,5.17
